rank_text,rank_href,rank,name_text,name_href,models
Complete ranking,https://db-engines.com/en/ranking,48,Interbase,https://db-engines.com/en/system/Interbase,Relational
Complete ranking,https://db-engines.com/en/ranking,49,Ehcache,https://db-engines.com/en/system/Ehcache,Key-value
Complete ranking,https://db-engines.com/en/ranking,50,Aerospike ,https://db-engines.com/en/system/Aerospike,Key-value
Complete ranking,https://db-engines.com/en/ranking,51,OrientDB,https://db-engines.com/en/system/OrientDB,Document store|Graph DBMS|Key-value store
Complete ranking,https://db-engines.com/en/ranking,52,Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,53,Kdb+ ,https://db-engines.com/en/system/Kdb%2B,Time Series DBMS|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,54,Riak KV,https://db-engines.com/en/system/Riak+KV,Key-value
Complete ranking,https://db-engines.com/en/ranking,55,Microsoft Azure Search,https://db-engines.com/en/system/Microsoft+Azure+Search,Search engine
Complete ranking,https://db-engines.com/en/ranking,56,Ingres,https://db-engines.com/en/system/Ingres,Relational
Complete ranking,https://db-engines.com/en/ranking,57,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,Relational
Complete ranking,https://db-engines.com/en/ranking,58,HyperSQL,https://db-engines.com/en/system/HyperSQL,Relational
Complete ranking,https://db-engines.com/en/ranking,59,Derby,https://db-engines.com/en/system/Derby,Relational
Complete ranking,https://db-engines.com/en/ranking,60,Ignite,https://db-engines.com/en/system/Ignite,Key-value store|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,61,SAP IQ,https://db-engines.com/en/system/SAP+IQ,Relational
Complete ranking,https://db-engines.com/en/ranking,62,RavenDB ,https://db-engines.com/en/system/RavenDB,Document
Complete ranking,https://db-engines.com/en/ranking,63,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,Wide column
Complete ranking,https://db-engines.com/en/ranking,64,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,Document
Complete ranking,https://db-engines.com/en/ranking,65,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,Document
Complete ranking,https://db-engines.com/en/ranking,66,Presto,https://db-engines.com/en/system/Presto,Relational
Complete ranking,https://db-engines.com/en/ranking,67,ArangoDB,https://db-engines.com/en/system/ArangoDB,Document store|Graph DBMS|Key-value store
Complete ranking,https://db-engines.com/en/ranking,68,RethinkDB,https://db-engines.com/en/system/RethinkDB,Document
Complete ranking,https://db-engines.com/en/ranking,69,Accumulo,https://db-engines.com/en/system/Accumulo,Wide column
Complete ranking,https://db-engines.com/en/ranking,70,Algolia,https://db-engines.com/en/system/Algolia,Search engine
Complete ranking,https://db-engines.com/en/ranking,71,MaxDB,https://db-engines.com/en/system/MaxDB,Relational
Complete ranking,https://db-engines.com/en/ranking,72,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Content
Complete ranking,https://db-engines.com/en/ranking,73,Adabas,https://db-engines.com/en/system/Adabas,Multivalue
Complete ranking,https://db-engines.com/en/ranking,74,Cloudant,https://db-engines.com/en/system/Cloudant,Document
Complete ranking,https://db-engines.com/en/ranking,75,OpenEdge,https://db-engines.com/en/system/OpenEdge,Relational
Complete ranking,https://db-engines.com/en/ranking,76,MemSQL ,https://db-engines.com/en/system/MemSQL,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,77,Virtuoso ,https://db-engines.com/en/system/Virtuoso,Graph DBMS|Native XML DBMS|Relational DBMS|RDF store|Document store
Complete ranking,https://db-engines.com/en/ranking,78,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,Multivalue
Complete ranking,https://db-engines.com/en/ranking,79,Graphite,https://db-engines.com/en/system/Graphite,Time Series
Complete ranking,https://db-engines.com/en/ranking,80,Snowflake ,https://db-engines.com/en/system/Snowflake,Relational
Complete ranking,https://db-engines.com/en/ranking,81,InterSystems Caché,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,Key-value store|Object oriented DBMS|Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,82,TimesTen ,https://db-engines.com/en/system/TimesTen,Relational
Complete ranking,https://db-engines.com/en/ranking,83,Google Search Appliance,https://db-engines.com/en/system/Google+Search+Appliance,Search engine
Complete ranking,https://db-engines.com/en/ranking,84,SAP Advantage Database Server,https://db-engines.com/en/system/SAP+Advantage+Database+Server,Relational
Complete ranking,https://db-engines.com/en/ranking,85,Amazon CloudSearch,https://db-engines.com/en/system/Amazon+CloudSearch,Search engine
Complete ranking,https://db-engines.com/en/ranking,86,Oracle NoSQL ,https://db-engines.com/en/system/Oracle+NoSQL,Key-value store|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,87,Prometheus,https://db-engines.com/en/system/Prometheus,Time Series
Complete ranking,https://db-engines.com/en/ranking,88,Oracle Berkeley DB,https://db-engines.com/en/system/Oracle+Berkeley+DB,Key-value store|Native XML DBMS
Complete ranking,https://db-engines.com/en/ranking,89,LevelDB,https://db-engines.com/en/system/LevelDB,Key-value
Complete ranking,https://db-engines.com/en/ranking,90,PouchDB,https://db-engines.com/en/system/PouchDB,Document
Complete ranking,https://db-engines.com/en/ranking,91,RRDtool,https://db-engines.com/en/system/RRDtool,Time Series
Complete ranking,https://db-engines.com/en/ranking,92,Apache Drill,https://db-engines.com/en/system/Apache+Drill,Document store|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,93,IMS,https://db-engines.com/en/system/IMS,Navigational
Complete ranking,https://db-engines.com/en/ranking,94,Percona Server for MySQL ,https://db-engines.com/en/system/Percona+Server+for+MySQL,Relational
Complete ranking,https://db-engines.com/en/ranking,95,RocksDB,https://db-engines.com/en/system/RocksDB,Key-value
Complete ranking,https://db-engines.com/en/ranking,96,OmniSci ,https://db-engines.com/en/system/OmniSci,Relational
Complete ranking,https://db-engines.com/en/ranking,97,ClickHouse,https://db-engines.com/en/system/ClickHouse,Relational
Complete ranking,https://db-engines.com/en/ranking,98,4D,https://db-engines.com/en/system/4D,Relational
Complete ranking,https://db-engines.com/en/ranking,99,Infinispan,https://db-engines.com/en/system/Infinispan,Key-value
Complete ranking,https://db-engines.com/en/ranking,100,CockroachDB,https://db-engines.com/en/system/CockroachDB,Relational
Complete ranking,https://db-engines.com/en/ranking,101,Oracle Coherence,https://db-engines.com/en/system/Oracle+Coherence,Key-value
Complete ranking,https://db-engines.com/en/ranking,102,OpenTSDB,https://db-engines.com/en/system/OpenTSDB,Time Series
Complete ranking,https://db-engines.com/en/ranking,103,GridGain,https://db-engines.com/en/system/GridGain,Key-value store|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,104,Amazon SimpleDB,https://db-engines.com/en/system/Amazon+SimpleDB,Key-value
RDF stores,https://db-engines.com/en/ranking/rdf+store,1,MarkLogic ,https://db-engines.com/en/system/MarkLogic,Document store|Native XML DBMS|RDF store|Search engine
RDF stores,https://db-engines.com/en/ranking/rdf+store,2,Virtuoso ,https://db-engines.com/en/system/Virtuoso,Graph DBMS|Native XML DBMS|Relational DBMS|RDF store|Document store
Complete ranking,https://db-engines.com/en/ranking,105,EnterpriseDB ,https://db-engines.com/en/system/EnterpriseDB,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,106,EXASOL,https://db-engines.com/en/system/EXASOL,Relational
Complete ranking,https://db-engines.com/en/ranking,107,VoltDB,https://db-engines.com/en/system/VoltDB,Relational
Complete ranking,https://db-engines.com/en/ranking,108,Google Cloud Spanner ,https://db-engines.com/en/system/Google+Cloud+Spanner,Relational
RDF stores,https://db-engines.com/en/ranking/rdf+store,3,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,4,Amazon Neptune,https://db-engines.com/en/system/Amazon+Neptune,Graph DBMS|RDF store
RDF stores,https://db-engines.com/en/ranking/rdf+store,5,GraphDB ,https://db-engines.com/en/system/GraphDB,Graph DBMS|RDF store
RDF stores,https://db-engines.com/en/ranking/rdf+store,6,AllegroGraph ,https://db-engines.com/en/system/AllegroGraph,Graph DBMS|RDF store
RDF stores,https://db-engines.com/en/ranking/rdf+store,7,Stardog,https://db-engines.com/en/system/Stardog,Graph DBMS|RDF store
RDF stores,https://db-engines.com/en/ranking/rdf+store,8,Blazegraph,https://db-engines.com/en/system/Blazegraph,Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,109,CloudKit,https://db-engines.com/en/system/CloudKit,Document
Complete ranking,https://db-engines.com/en/ranking,110,Datomic,https://db-engines.com/en/system/Datomic,Relational
Complete ranking,https://db-engines.com/en/ranking,111,IBM Db2 warehouse,https://db-engines.com/en/system/IBM+Db2+warehouse,Relational
Complete ranking,https://db-engines.com/en/ranking,112,MonetDB ,https://db-engines.com/en/system/MonetDB,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,113,Google Cloud Bigtable ,https://db-engines.com/en/system/Google+Cloud+Bigtable,Wide column
RDF stores,https://db-engines.com/en/ranking/rdf+store,9,Algebraix,https://db-engines.com/en/system/Algebraix,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,10,Redland,https://db-engines.com/en/system/Redland,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,11,RDF4J,https://db-engines.com/en/system/RDF4J,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,12,4store,https://db-engines.com/en/system/4store,RDF
Complete ranking,https://db-engines.com/en/ranking,114,Geode,https://db-engines.com/en/system/Geode,Key-value
Complete ranking,https://db-engines.com/en/ranking,115,Versant Object Database,https://db-engines.com/en/system/Versant+Object+Database,Object oriented
Complete ranking,https://db-engines.com/en/ranking,116,Red Brick,https://db-engines.com/en/system/Red+Brick,Relational
Complete ranking,https://db-engines.com/en/ranking,117,Mnesia,https://db-engines.com/en/system/Mnesia,Document
RDF stores,https://db-engines.com/en/ranking/rdf+store,13,CubicWeb,https://db-engines.com/en/system/CubicWeb,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,14,RedStore,https://db-engines.com/en/system/RedStore,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,15,Mulgara,https://db-engines.com/en/system/Mulgara,RDF
Complete ranking,https://db-engines.com/en/ranking,118,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,RDF
Complete ranking,https://db-engines.com/en/ranking,119,Druid,https://db-engines.com/en/system/Druid,Relational DBMS|Time Series DBMS
RDF stores,https://db-engines.com/en/ranking/rdf+store,16,Strabon,https://db-engines.com/en/system/Strabon,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,17,BrightstarDB,https://db-engines.com/en/system/BrightstarDB,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,18,Dydra,https://db-engines.com/en/system/Dydra,RDF
RDF stores,https://db-engines.com/en/ranking/rdf+store,19,SparkleDB,https://db-engines.com/en/system/SparkleDB,RDF
Complete ranking,https://db-engines.com/en/ranking,120,mSQL,https://db-engines.com/en/system/mSQL,Relational
Complete ranking,https://db-engines.com/en/ranking,121,TiDB ,https://db-engines.com/en/system/TiDB,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,122,ScyllaDB ,https://db-engines.com/en/system/ScyllaDB,Wide column
Complete ranking,https://db-engines.com/en/ranking,123,Db4o,https://db-engines.com/en/system/Db4o,Object oriented
Complete ranking,https://db-engines.com/en/ranking,124,ObjectStore,https://db-engines.com/en/system/ObjectStore,Object oriented
Complete ranking,https://db-engines.com/en/ranking,125,jBASE ,https://db-engines.com/en/system/jBASE,Multivalue
Complete ranking,https://db-engines.com/en/ranking,126,Datameer,https://db-engines.com/en/system/Datameer,Document
Complete ranking,https://db-engines.com/en/ranking,127,Amazon Neptune,https://db-engines.com/en/system/Amazon+Neptune,Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,128,Tibero,https://db-engines.com/en/system/Tibero,Relational
Complete ranking,https://db-engines.com/en/ranking,129,JanusGraph,https://db-engines.com/en/system/JanusGraph,Graph
Complete ranking,https://db-engines.com/en/ranking,130,SQLBase,https://db-engines.com/en/system/SQLBase,Relational
Complete ranking,https://db-engines.com/en/ranking,131,BaseX,https://db-engines.com/en/system/BaseX,Native XML
